15714	16.88	1.9	3.71	0.48	51.1	0.4	41.2	0.1	0.6	157.4	266.6	8
89361	21.43	2.45	3.68	0.47	58.8	1.1	95.5	5.4	2.9	67.3	299.4	12.5
309824	126.85	10.27	38.54	4.72	964.1	33.9	321.7	2.5	14.5	2619.3	5650	52.4
145033	44.13	5.37	9.25	1.03	957.6	653.5	299.3	42.8	52	19.3	802.2	264.5
111917	84.77	4.93	18.88	2.15	1226.5	183.5	7057.9	44	760.5	37.1	88.7	15637.9
262879	121.7	10.01	20.78	2.89	789.7	8.4	130.5	6.8	24.3	199.2	684.8	71.1
122171	74.3	5.31	12.83	1.59	231.9	3.9	165.1	6.3	30.2	135	216.4	889.8
149644	142.39	8.49	27.56	2.84	223.3	4.3	44	1.6	3.9	40.2	100.3	12.8
221160	22.44	4.46	1.5	0.2	656	1.7	131.6	8.2	6.9	1108.8	2523.9	71.4
601158	110	14.25	17.42	1.86	1160.1	44.8	1204.1	3.9	26.5	3553.8	9676.5	307.6
418262	72.54	10.32	9.59	1.16	506.2	5	454.3	6.5	244.4	4708.7	12902.6	185.5
272313	88.56	10.05	18.62	2	709.8	5.4	1345.4	6.4	144.9	221.4	757.9	2244.6
260579	62.98	8.93	9.32	1.29	373.4	1.9	3727.2	12.6	633.9	2145.6	10390.5	3754
208289	72.01	8.6	11.24	1.52	687.5	14.2	6145.3	74.8	1769.5	570.7	922.3	7355.3
514423	178.04	15.5	57.42	6.37	507.4	35.2	876.6	11.2	1050.7	509	7859.6	2400
422832	131.87	13.9	42.72	5.08	1069.7	116.2	3138	20.3	784.2	966	27844	1083.9
301704	103.31	12.04	19.28	2.38	939.6	12.9	5881.8	35.6	1039	10223.9	13538.7	12448
309960	122.9	15.44	22.29	2.71	542.7	18.4	21609.3	151.7	6536.5	1252.5	5918.9	35794.2
905082	167.06	20.82	18.82	2.83	450.5	10	2277.9	20.3	396.3	3278.8	13355.1	855.8
219304	74.4	7.93	11.43	1.41	269.9	10	5009.3	90.6	953.8	132.2	1353.4	5012.2
39351	19.6	2.29	4.09	0.52	47.3	0.1	2.5	3.7	0.5	0.3	101	13.2
145822	38.64	5.13	5.44	0.68	328.8	8.5	112.7	0.5	4.8	352.2	706	63.4
331277	121.63	13.47	22.49	2.64	545.5	2.8	1208.8	15.3	86.2	751.2	1790.4	1678.7
110912	32.67	3.8	4.7	0.49	330.8	0.6	396.6	9.9	197.4	70.3	9351.4	276.3
157544	53.38	5.65	7.67	0.77	319.3	2.1	4846.4	16.4	845.7	105.5	189.7	7354.1
5450	2.79	0.34	0.62	0.05	0.8	5.4	5	0.1	1	0.6	2	5203.5
145785	50.49	5.82	10	1	621.6	5.3	1426.1	28.9	512.1	165.5	696	1017.5
65973	37.32	3.81	5.12	0.46	281	4.4	4382.2	88.1	824.4	498.7	3406.1	3265.5
23001	10.5	0.98	0.79	0.08	339.9	1	692.7	8.3	244.1	5.5	12.6	1479
37277	21.98	1.66	3.08	0.33	165.5	156.9	30.5	1.8	2.5	20.1	105.3	70
102748	67.02	4.59	17.27	1.44	847.9	26.8	125.1	21.6	56.9	1009.3	1285.2	847.1
